unique_id,timestamp,x_shape,eval_test,model_version,model_version_note,runtime
4163839f-8e9a-417b-9843-4f1700049d44,1612432549.662932,21 x 1,"{'country': 'United Kingdom', 'rmse': 4805.55, 'mape': 19}",0.1,auto_arima,000:00:01
2daf5fa8-085e-4343-9466-bd2409a26a04,1612432549.8237162,21 x 1,"{'country': 'France', 'rmse': 230.66, 'mape': 26}",0.1,auto_arima,000:00:01
93e3e317-8efc-4eb7-9a41-8e0b7a0d73d5,1612432549.937418,21 x 1,"{'country': 'Belgium', 'rmse': 156.52, 'mape': 48}",0.1,auto_arima,000:00:01
830d387d-e80c-4ed3-b300-c43f7e2b1069,1612432550.040472,21 x 1,"{'country': 'EIRE', 'rmse': 442.61, 'mape': 24}",0.1,auto_arima,000:00:02
475e2171-7910-4ab1-957e-f9740c2addb5,1612432550.141429,21 x 1,"{'country': 'Germany', 'rmse': 385.81, 'mape': 36}",0.1,auto_arima,000:00:02
046daee4-e7d7-4276-9757-837eb20f1fe9,1612432550.273854,21 x 1,"{'country': 'Portugal', 'rmse': 2895.75, 'mape': 68}",0.1,auto_arima,000:00:02
89a66ac7-2e9d-4a07-84bf-1cefbf30f852,1612432550.392243,21 x 1,"{'country': 'Netherlands', 'rmse': 358.91, 'mape': 958}",0.1,auto_arima,000:00:02
00e6cf32-7801-42d9-8a93-c6542c14ae1e,1612432550.499708,21 x 1,"{'country': 'Spain', 'rmse': 233.64, 'mape': 51}",0.1,auto_arima,000:00:02
faf41ef1-274d-40ca-bd91-7af20f19dbdd,1612432550.633085,21 x 1,"{'country': 'Norway', 'rmse': 1344.39, 'mape': 100}",0.1,auto_arima,000:00:02
de65b028-18a1-4d5b-8d00-d322ef076e49,1612432550.763974,21 x 1,"{'country': 'Switzerland', 'rmse': 471.57, 'mape': 44}",0.1,auto_arima,000:00:02
a9616652-f1d1-432e-8809-26ae4cd4839f,1612438037.707144,5 x 1,"{'country': 'United Kingdom', 'rmse': 32799.6, 'mape': 100}",0.1,auto_arima,000:00:01
0ffb8453-58c2-455a-9c8f-b39085c9a529,1612438037.869822,5 x 1,"{'country': 'Spain', 'rmse': 470.19, 'mape': 100}",0.1,auto_arima,000:00:01
